id,title,display_key,org_slug,type_name,stage_name,current_substate,spawn_state,due_date,is_expedited,work_nature,priority
106,Apple Pay integration for subscription renewals,PAY.1,payments,Payment Feature,Intake,active,active,,false,delivery,
107,PCI DSS v4.0 compliance updates,PAY.2,payments,Payment Feature,Intake,active,active,,false,delivery,
108,Refund fails silently when original transaction > 90 days,PBUG.3,payments,Payment Bug,Reported,active,active,,false,delivery,
109,Currency rounding error on JPY transactions,PBUG.4,payments,Payment Bug,Reported,active,active,,false,delivery,
110,Update Stripe SDK to v14,PTSK.5,payments,Payment Task,Inbox,active,active,,false,delivery,
111,Biometric login for iOS and Android,MOB.6,mobile-experience,Mobile Feature,Intake,active,active,,false,delivery,
112,Offline mode for transaction history,MOB.7,mobile-experience,Mobile Feature,Intake,active,active,,false,delivery,
113,Push notifications not delivered on Android 14,MBUG.8,mobile-experience,Mobile Bug,Reported,active,active,,false,delivery,
114,Redesign onboarding flow — reduce drop-off,MDES.9,mobile-experience,Design Request,Requested,active,active,,false,delivery,
115,Migrate CI pipeline to Xcode 16,MTSK.10,mobile-experience,Mobile Task,Inbox,active,active,,false,delivery,
116,Provision staging environment for payments v3,ENV.11,cloud-infra,Environment Setup,Submitted,active,active,,false,delivery,
117,Scale production Kubernetes cluster — Black Friday prep,ENV.12,cloud-infra,Environment Setup,Submitted,active,active,,true,delivery,
118,us-east-1 load balancer timeout spike,IINC.13,cloud-infra,Infrastructure Incident,Fix Queue,active,active,,false,delivery,
119,Rotate TLS certificates across all clusters,ITSK.14,cloud-infra,Infrastructure Task,Inbox,active,active,,false,delivery,
120,Datadog Enterprise license renewal — 3-year commitment,IACQ.15,cloud-infra,Acquisition Request,Submitted,active,active,2026-03-26T00:00:00.000Z,false,delivery,
121,Add partitioning to transactions table (>500M rows),DBCR.16,data-platform,Database Change Request,Submitted,active,active,,false,delivery,
122,Create read replica for analytics workloads,DBCR.17,data-platform,Database Change Request,Pending Approval,active,active,,false,delivery,
123,Fix dbt model for customer churn metrics,DTSK.18,data-platform,Data Pipeline Task,In Progress,active,active,,false,delivery,
124,Kafka consumer lag on payment events topic,DBUG.19,data-platform,Data Platform Bug,Reported,active,active,,true,delivery,
125,Review: Event-driven architecture for order processing,ARCH.20,enterprise-architecture,Architecture Review,Assigned,active,active,,false,delivery,
126,Review: GraphQL gateway vs. BFF pattern,ARCH.21,enterprise-architecture,Architecture Review,Submitted,active,active,,false,delivery,
127,Assess Temporal.io for long-running workflow orchestration,TECH.22,enterprise-architecture,Technology Assessment,Submitted,active,active,,false,delivery,
128,Exception: Use MongoDB for mobile offline sync cache,STDX.23,enterprise-architecture,Standards Exception,Submitted,active,active,,false,delivery,
129,Dashboard redesign — key metrics visibility,DSGN.24,ux-design,Design Request,Requested,active,active,,false,delivery,
130,Design system dark mode variant,DSGN.25,ux-design,Design Request,Requested,active,active,,false,delivery,
131,Add data table component to design system,DSYS.26,ux-design,Design System Update,Intake,active,active,,false,delivery,
132,WCAG 2.2 audit for checkout flow,A11Y.27,ux-design,Accessibility Audit,Submitted,active,active,,false,delivery,
133,Customer self-service portal — business case review,PROJ.28,pmo,Project Intake,Assigned,active,active,,false,delivery,
134,Legacy system decommission — mainframe migration phase 3,PROJ.29,pmo,Project Intake,Submitted,active,active,,false,delivery,
135,Size: Real-time fraud detection pipeline,PSIZE.30,pmo,Sizing Request,Submitted,active,active,2026-03-13T00:00:00.000Z,true,delivery,
136,Q1 portfolio health report,RPT.31,pmo,Status Report,Inbox,active,active,2026-03-25T00:00:00.000Z,false,delivery,
137,Install IntelliJ Ultimate license — new developer,ITSR.32,it-service-desk,IT Service Request,Submitted,active,active,,false,delivery,
138,VPN access request for contractor team,ITSR.33,it-service-desk,IT Service Request,Submitted,active,active,,false,delivery,
139,SSO login failing intermittently since 9 AM,INC.34,it-service-desk,IT Incident,Reported,active,active,,false,delivery,
140,AWS console access for data platform team,ACC.35,it-service-desk,Access Request,Submitted,active,active,,false,delivery,
141,MacBook Pro M4 — new hire starting March 20,EQUIP.36,it-service-desk,Equipment Request,Submitted,active,active,,false,delivery,
142,Senior Backend Engineer — Payments Team backfill,HIRE.37,people-ops,Headcount Requisition,Submitted,active,active,,false,delivery,
143,UX Researcher — Design Studio growth,HIRE.38,people-ops,Headcount Requisition,Submitted,active,active,,false,delivery,
144,DevOps contractor — 6-month cloud migration support,CNTR.39,people-ops,Contractor Request,Submitted,active,active,,false,delivery,
145,Onboarding checklist for March cohort (8 new hires),PEOP.40,people-ops,People Service Request,Submitted,active,active,,false,delivery,
146,Customer 360 — unified profile across channels,EPIC.41,product-engineering,Product Epic,Intake,active,active,,false,delivery,
147,Real-time order tracking with push notifications,FEAT.42,product-engineering,Product Feature,Intake,active,active,,false,delivery,
148,Feasibility: AI-powered product recommendations,FEAS.43,product-engineering,Feature Feasibility,Submitted,active,active,,false,delivery,
149,Size: Multi-tenant architecture migration,SIZE.44,product-engineering,Sizing Request,Submitted,active,active,,false,delivery,
150,API gateway rate limiting per tenant,PLAT.45,platform-art,Platform Feature,Intake,active,active,,false,delivery,
151,Observability platform — distributed tracing rollout,PEPC.46,platform-art,Platform Epic,Triage,active,active,,false,delivery,
152,Apple Pay integration for subscription renewals,PAY.47,payments,Payment Feature,Triage,active,active,,false,delivery,
153,PCI DSS v4.0 compliance updates,PAY.48,payments,Payment Feature,Triage,active,active,,false,delivery,
154,Refund fails silently when original transaction > 90 days,PBUG.49,payments,Payment Bug,Reported,active,active,,false,delivery,
155,Currency rounding error on JPY transactions,PBUG.50,payments,Payment Bug,Reported,active,active,,false,delivery,
156,Update Stripe SDK to v14,PTSK.51,payments,Payment Task,Inbox,active,active,,false,delivery,
157,Biometric login for iOS and Android,MOB.52,mobile-experience,Mobile Feature,Ready,active,active,,false,delivery,
158,Offline mode for transaction history,MOB.53,mobile-experience,Mobile Feature,Intake,active,active,,false,delivery,
159,Push notifications not delivered on Android 14,MBUG.54,mobile-experience,Mobile Bug,Reported,active,active,,false,delivery,
160,Redesign onboarding flow — reduce drop-off,MDES.55,mobile-experience,Design Request,Requested,active,active,,false,delivery,
161,Migrate CI pipeline to Xcode 16,MTSK.56,mobile-experience,Mobile Task,Inbox,active,active,,false,delivery,
162,Provision staging environment for payments v3,ENV.57,cloud-infra,Environment Setup,Submitted,active,active,,false,delivery,
163,Scale production Kubernetes cluster — Black Friday prep,ENV.58,cloud-infra,Environment Setup,Submitted,active,active,,false,delivery,
164,us-east-1 load balancer timeout spike,IINC.59,cloud-infra,Infrastructure Incident,Reported,active,active,,false,delivery,
165,Rotate TLS certificates across all clusters,ITSK.60,cloud-infra,Infrastructure Task,In Progress,active,active,,false,delivery,
166,Datadog Enterprise license renewal — 3-year commitment,IACQ.61,cloud-infra,Acquisition Request,Manager Review,active,active,,false,delivery,
167,Add partitioning to transactions table (>500M rows),DBCR.62,data-platform,Database Change Request,Pending Approval,active,active,,false,delivery,
